id,name,category,address,link,parse,split,address-from-parse,longitude_raw,latitude_raw,iLvl,image_url
1,珈琲 天国,スイーツ,東京都台東区浅草1-41-9,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都台東区浅草1-41-9,東京都台東区浅草1-41-9wgs19845東京都台東区浅草1-41- 東京都/台東区/浅草/一丁目/４１番 139.793930 35.713047 7 ,東京都台東区浅草1-41-9wgs19845東京都台東区浅草1-41-,東京都/台東区/浅草/一丁目/４１番,139.79393,35.713047,7,
2,おにぎり浅草宿六,ご飯,東京都台東区浅草3-9-10,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都台東区浅草3-9-10,東京都台東区浅草3-9-10wgs19845東京都台東区浅草3-9- 東京都/台東区/浅草/三丁目/９番 139.794586 35.717014 7 ,東京都台東区浅草3-9-10wgs19845東京都台東区浅草3-9-,東京都/台東区/浅草/三丁目/９番,139.794586,35.717014,7,
3,亀十 ,スイーツ,東京都台東区雷門2-18-11,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都台東区雷門2-18-11,東京都台東区雷門2-18-11wgs19845東京都台東区雷門2-18- 東京都/台東区/雷門/二丁目/１８番 139.796539 35.710377 7 ,東京都台東区雷門2-18-11wgs19845東京都台東区雷門2-18-,東京都/台東区/雷門/二丁目/１８番,139.796539,35.710377,7,
4,梅園 浅草本店 ,スイーツ,東京都台東区浅草1-31-12,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都台東区浅草1-31-12,東京都台東区浅草1-31-12wgs19845東京都台東区浅草1-31- 東京都/台東区/浅草/一丁目/３１番 139.796005 35.712341 7 ,東京都台東区浅草1-31-12wgs19845東京都台東区浅草1-31-,東京都/台東区/浅草/一丁目/３１番,139.796005,35.712341,7,
5,満願堂 本店 ,スイーツ,東京都台東区浅草1-21-5,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都台東区浅草1-21-5,東京都台東区浅草1-21-5wgs19845東京都台東区浅草1-21- 東京都/台東区/浅草/一丁目/２１番 139.795166 35.711834 7 ,東京都台東区浅草1-21-5wgs19845東京都台東区浅草1-21-,東京都/台東区/浅草/一丁目/２１番,139.795166,35.711834,7,
6,舟和 本店 ,スイーツ,東京都台東区浅草1-22-10,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都台東区浅草1-22-10,東京都台東区浅草1-22-10wgs19845東京都台東区浅草1-22- 東京都/台東区/浅草/一丁目/２２番 139.794388 35.712055 7 ,東京都台東区浅草1-22-10wgs19845東京都台東区浅草1-22-,東京都/台東区/浅草/一丁目/２２番,139.794388,35.712055,7,
7,"志""満ん草餅",スイーツ,東京都墨田区堤通1-5-9,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都墨田区堤通1-5-9,東京都墨田区堤通1-5-9wgs19845東京都墨田区堤通1-5- 東京都/墨田区/堤通/一丁目/５番 139.812134 35.723095 7 ,東京都墨田区堤通1-5-9wgs19845東京都墨田区堤通1-5-,東京都/墨田区/堤通/一丁目/５番,139.812134,35.723095,7,
8,大黒家天麩羅 本店,ご飯,東京都台東区浅草1-38-10,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都台東区浅草1-38-10,東京都台東区浅草1-38-10wgs19845東京都台東区浅草1-38- 東京都/台東区/浅草/一丁目/３８番 139.795303 35.712570 7 ,東京都台東区浅草1-38-10wgs19845東京都台東区浅草1-38-,東京都/台東区/浅草/一丁目/３８番,139.795303,35.71257,7,
9,「中世すみだの歴史さんぽ」,観光,東京都墨田区向島二丁目3番5号,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都墨田区向島二丁目3番5号,東京都墨田区向島二丁目3番5号wgs19845東京都墨田区向島二丁目3番 東京都/墨田区/向島/二丁目/３番 139.805801 35.713821 7 ,東京都墨田区向島二丁目3番5号wgs19845東京都墨田区向島二丁目3番,東京都/墨田区/向島/二丁目/３番,139.805801,35.713821,7,
10,置行堀（本所七不思議）,観光,東京都墨田区横網一丁目5番2号,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都墨田区横網一丁目5番2号,東京都墨田区横網一丁目5番2号wgs19845東京都墨田区横網一丁目5番 東京都/墨田区/横網/一丁目/５番 139.796951 35.697376 7 ,東京都墨田区横網一丁目5番2号wgs19845東京都墨田区横網一丁目5番,東京都/墨田区/横網/一丁目/５番,139.796951,35.697376,7,https://upload.wikimedia.org/wikipedia/commons/3/31/Kuniteru_Honjo-nana-fushigi_Oitekebori.jpg
11,送り提灯（本所七不思議）,観光,東京都墨田区太平１丁目２６－１６,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都墨田区太平１丁目２６－１６,東京都墨田区太平１丁目２６−１６wgs19845東京都墨田区太平１丁目２６− 東京都/墨田区/太平/一丁目/２６番 139.810013 35.702114 7 ,東京都墨田区太平１丁目２６−１６wgs19845東京都墨田区太平１丁目２６−,東京都/墨田区/太平/一丁目/２６番,139.810013,35.702114,7,https://upload.wikimedia.org/wikipedia/commons/b/b9/Kuniteru_Honjo-nana-fushigi_Okuri-chochin.jpg
12,送り拍子木（本所七不思議）,観光,東京都墨田区亀沢1丁目7番地,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都墨田区亀沢1丁目7番地,東京都墨田区亀沢1丁目7番地wgs19845東京都墨田区亀沢1丁目7番 東京都/墨田区/亀沢/一丁目/７番 139.797714 35.696480 7 ,東京都墨田区亀沢1丁目7番地wgs19845東京都墨田区亀沢1丁目7番,東京都/墨田区/亀沢/一丁目/７番,139.797714,35.69648,7,https://upload.wikimedia.org/wikipedia/commons/0/01/Kuniteru_Honjo-nana-fushigi_Okuri-hyoshigi.jpg
13,燈無蕎麦（本所七不思議）,観光,東京都墨田区亀沢1丁目7番地,http://geocode.csis.u-tokyo.ac.jp/cgi-bin/simple_geocode.cgi?charset=UTF8&addr=東京都墨田区亀沢1丁目7番地,東京都墨田区亀沢1丁目7番地wgs19845東京都墨田区亀沢1丁目7番 東京都/墨田区/亀沢/一丁目/７番 139.797714 35.696480 7 ,東京都墨田区亀沢1丁目7番地wgs19845東京都墨田区亀沢1丁目7番,東京都/墨田区/亀沢/一丁目/７番,139.797714,35.69648,7,https://upload.wikimedia.org/wikipedia/commons/5/50/Kuniteru_Honjo-nana-fushigi_Akarinashisoba.jpg
